prb_id,src_addr,type_addr,region,cc,asn_4,asn_6,prefix_4,prefix_6,rtt,min,max,avg
62008,2a01:cb22:83b:5200:da58:d7ff:fe03:9e5,IPv6,afrinic,RE,3215,3215,83.198.0.0/16,2a01:cb22::/36, 203.216134,200.679667,203.216134,201.628232
62008,2a01:cb22:83b:5200:da58:d7ff:fe03:9e5,IPv6,afrinic,RE,3215,3215,83.198.0.0/16,2a01:cb22::/36, 200.679667,200.679667,203.216134,201.628232
62008,2a01:cb22:83b:5200:da58:d7ff:fe03:9e5,IPv6,afrinic,RE,3215,3215,83.198.0.0/16,2a01:cb22::/36,  200.988895,200.679667,203.216134,201.628232
6224,2001:43f8:1:404::a793,IPv6,afrinic,TZ,327844,327844,196.49.5.0/24,2001:43f8:1::/48, 0.703365,0.597151,0.703365,0.6348756667
6224,2001:43f8:1:404::a793,IPv6,afrinic,TZ,327844,327844,196.49.5.0/24,2001:43f8:1::/48, 0.597151,0.597151,0.703365,0.6348756667
6224,2001:43f8:1:404::a793,IPv6,afrinic,TZ,327844,327844,196.49.5.0/24,2001:43f8:1::/48,  0.604111,0.597151,0.703365,0.6348756667
6569,2a00:11c0:67:aa3::a,IPv6,afrinic,ZA,42473,42473,188.172.217.0/24,2a00:11c0:67::/48, 0.634476,0.415603,0.889987,0.6466886667
6569,2a00:11c0:67:aa3::a,IPv6,afrinic,ZA,42473,42473,188.172.217.0/24,2a00:11c0:67::/48, 0.889987,0.415603,0.889987,0.6466886667
6569,2a00:11c0:67:aa3::a,IPv6,afrinic,ZA,42473,42473,188.172.217.0/24,2a00:11c0:67::/48,  0.415603,0.415603,0.889987,0.6466886667
7062,2c0f:fce8:0:191::3,IPv6,afrinic,ZA,37153,37153,196.40.96.0/20,2c0f:fce8::/34, 1.789974,1.697329,1.809524,1.765609
7062,2c0f:fce8:0:191::3,IPv6,afrinic,ZA,37153,37153,196.40.96.0/20,2c0f:fce8::/34, 1.809524,1.697329,1.809524,1.765609
7062,2c0f:fce8:0:191::3,IPv6,afrinic,ZA,37153,37153,196.40.96.0/20,2c0f:fce8::/34,  1.697329,1.697329,1.809524,1.765609
1002165,2a02:4780:6:1::1e,IPv6,apnic,ID,47583,47583,153.92.15.0/24,2a02:4780:6::/48, 21.447996,21.143247,21.447996,21.2492386667
1002165,2a02:4780:6:1::1e,IPv6,apnic,ID,47583,47583,153.92.15.0/24,2a02:4780:6::/48, 21.143247,21.143247,21.447996,21.2492386667
1002165,2a02:4780:6:1::1e,IPv6,apnic,ID,47583,47583,153.92.15.0/24,2a02:4780:6::/48,  21.156473,21.143247,21.447996,21.2492386667
1003371,2406:da19:c2:6400:a5a4:8c9c:8296:4fc,IPv6,apnic,ID,16509,16509,108.136.0.0/15,2406:da19::/38, 16.315035,15.844884,16.315035,16.0122186667
1003371,2406:da19:c2:6400:a5a4:8c9c:8296:4fc,IPv6,apnic,ID,16509,16509,108.136.0.0/15,2406:da19::/38, 15.844884,15.844884,16.315035,16.0122186667
1003371,2406:da19:c2:6400:a5a4:8c9c:8296:4fc,IPv6,apnic,ID,16509,16509,108.136.0.0/15,2406:da19::/38,  15.876737,15.844884,16.315035,16.0122186667
1003391,2403:ac80:cc:7::309:cabd,IPv6,apnic,JP,4785,4785,45.14.107.0/24,2403:ac80::/32, 7.860463,7.763505,7.86264,7.8288693333
1003391,2403:ac80:cc:7::309:cabd,IPv6,apnic,JP,4785,4785,45.14.107.0/24,2403:ac80::/32, 7.763505,7.763505,7.86264,7.8288693333
1003391,2403:ac80:cc:7::309:cabd,IPv6,apnic,JP,4785,4785,45.14.107.0/24,2403:ac80::/32,  7.86264,7.763505,7.86264,7.8288693333
1003464,2400:6180:100:d0::baa:4001,IPv6,apnic,IN,14061,14061,139.59.80.0/20,2400:6180:100::/40, 128.187903,127.379161,128.187903,127.682101
1003464,2400:6180:100:d0::baa:4001,IPv6,apnic,IN,14061,14061,139.59.80.0/20,2400:6180:100::/40, 127.379161,127.379161,128.187903,127.682101
1003464,2400:6180:100:d0::baa:4001,IPv6,apnic,IN,14061,14061,139.59.80.0/20,2400:6180:100::/40,  127.479239,127.379161,128.187903,127.682101
1003631,2a02:4780:11:c0de::19,IPv6,apnic,IN,47583,47583,217.21.80.0/20,2a02:4780:11::/48, 126.140684,126.09233,126.178734,126.1372493333
1003631,2a02:4780:11:c0de::19,IPv6,apnic,IN,47583,47583,217.21.80.0/20,2a02:4780:11::/48, 126.178734,126.09233,126.178734,126.1372493333
1003631,2a02:4780:11:c0de::19,IPv6,apnic,IN,47583,47583,217.21.80.0/20,2a02:4780:11::/48,  126.09233,126.09233,126.178734,126.1372493333
1005363,2405:6581:60c0:a00:60e:3cff:fe24:6839,IPv6,apnic,JP,4685,4685,220.157.128.0/17,2405:6580::/29, 7.825895,4.92882,7.825895,6.0623033333
1005363,2405:6581:60c0:a00:60e:3cff:fe24:6839,IPv6,apnic,JP,4685,4685,220.157.128.0/17,2405:6580::/29, 4.92882,4.92882,7.825895,6.0623033333
1005363,2405:6581:60c0:a00:60e:3cff:fe24:6839,IPv6,apnic,JP,4685,4685,220.157.128.0/17,2405:6580::/29,  5.432195,4.92882,7.825895,6.0623033333
